longitude,latitude,week,abundance,species,species_id
-44.75,-35.25,2023-02-15,1.512,Upland Sandpiper,3
-45.23,-35.06,2023-02-15,1.475,Upland Sandpiper,3
-45.23,-35.25,2023-02-15,1.388,Upland Sandpiper,3
-44.75,-34.86,2023-02-15,1.335,Upland Sandpiper,3
-44.02,-35.25,2023-02-15,1.318,Upland Sandpiper,3
-44.75,-35.45,2023-02-15,1.293,Upland Sandpiper,3
-45.23,-38.93,2023-02-15,1.293,Upland Sandpiper,3
-44.99,-35.06,2023-02-15,1.197,Upland Sandpiper,3
-45.48,-38.74,2023-02-15,1.186,Upland Sandpiper,3
-43.78,-35.06,2023-02-15,1.16,Upland Sandpiper,3
-45.48,-35.06,2023-02-15,1.155,Upland Sandpiper,3
-44.26,-35.06,2023-02-15,1.146,Upland Sandpiper,3
-44.51,-35.45,2023-02-15,1.133,Upland Sandpiper,3
-45.48,-35.25,2023-02-15,1.122,Upland Sandpiper,3
-44.99,-34.86,2023-02-15,1.116,Upland Sandpiper,3
-44.99,-35.45,2023-02-15,1.115,Upland Sandpiper,3
-44.51,-35.06,2023-02-15,1.048,Upland Sandpiper,3
-44.02,-35.45,2023-02-15,0.979,Upland Sandpiper,3
-43.78,-35.25,2023-02-15,0.961,Upland Sandpiper,3
-44.75,-35.06,2023-02-15,0.915,Upland Sandpiper,3
-45.23,-34.86,2023-02-15,0.908,Upland Sandpiper,3
-43.78,-35.65,2023-02-15,0.905,Upland Sandpiper,3
-45.23,-35.45,2023-02-15,0.874,Upland Sandpiper,3
-44.26,-35.45,2023-02-15,0.853,Upland Sandpiper,3
-45.72,-35.06,2023-02-15,0.84,Upland Sandpiper,3
-43.78,-35.45,2023-02-15,0.815,Upland Sandpiper,3
-45.72,-35.25,2023-02-15,0.782,Upland Sandpiper,3
-45.48,-35.45,2023-02-15,0.697,Upland Sandpiper,3
-45.23,-39.12,2023-02-15,0.646,Upland Sandpiper,3
-44.02,-35.65,2023-02-15,0.644,Upland Sandpiper,3
-45.48,-37.98,2023-02-15,0.642,Upland Sandpiper,3
-45.48,-34.86,2023-02-15,0.639,Upland Sandpiper,3
-45.48,-38.17,2023-02-15,0.639,Upland Sandpiper,3
-45.23,-38.36,2023-02-15,0.606,Upland Sandpiper,3
-45.23,-38.55,2023-02-15,0.595,Upland Sandpiper,3
-43.78,-35.85,2023-02-15,0.565,Upland Sandpiper,3
-43.54,-35.45,2023-02-15,0.553,Upland Sandpiper,3
-45.23,-38.74,2023-02-15,0.553,Upland Sandpiper,3
-43.29,-35.06,2023-02-15,0.548,Upland Sandpiper,3
-45.96,-35.06,2023-02-15,0.54,Upland Sandpiper,3
-45.96,-35.25,2023-02-15,0.535,Upland Sandpiper,3
-44.99,-35.65,2023-02-15,0.498,Upland Sandpiper,3
-43.54,-35.25,2023-02-15,0.458,Upland Sandpiper,3
-43.54,-35.06,2023-02-15,0.456,Upland Sandpiper,3
-46.2,-37.02,2023-02-15,0.451,Upland Sandpiper,3
-44.75,-35.65,2023-02-15,0.44,Upland Sandpiper,3
-45.23,-35.65,2023-02-15,0.427,Upland Sandpiper,3
-45.72,-35.45,2023-02-15,0.424,Upland Sandpiper,3
-45.48,-39.31,2023-02-15,0.413,Upland Sandpiper,3
-44.99,-38.93,2023-02-15,0.41,Upland Sandpiper,3
-43.29,-35.25,2023-02-15,0.385,Upland Sandpiper,3
-45.96,-37.21,2023-02-15,0.374,Upland Sandpiper,3
-43.29,-34.86,2023-02-15,0.373,Upland Sandpiper,3
-44.26,-35.65,2023-02-15,0.358,Upland Sandpiper,3
-45.23,-38.17,2023-02-15,0.34,Upland Sandpiper,3
-44.51,-35.65,2023-02-15,0.327,Upland Sandpiper,3
-43.54,-35.65,2023-02-15,0.322,Upland Sandpiper,3
-43.29,-35.45,2023-02-15,0.314,Upland Sandpiper,3
-45.96,-37.02,2023-02-15,0.308,Upland Sandpiper,3
-46.2,-36.82,2023-02-15,0.308,Upland Sandpiper,3
-45.96,-35.45,2023-02-15,0.307,Upland Sandpiper,3
-45.72,-37.6,2023-02-15,0.304,Upland Sandpiper,3
-46.45,-36.43,2023-02-15,0.296,Upland Sandpiper,3
-46.45,-36.63,2023-02-15,0.293,Upland Sandpiper,3
-44.02,-35.85,2023-02-15,0.291,Upland Sandpiper,3
-45.48,-35.65,2023-02-15,0.287,Upland Sandpiper,3
-46.45,-36.24,2023-02-15,0.286,Upland Sandpiper,3
-44.99,-38.55,2023-02-15,0.282,Upland Sandpiper,3
-44.26,-35.25,2023-02-22,1.749,Upland Sandpiper,3
-44.02,-35.06,2023-02-22,1.489,Upland Sandpiper,3
-44.51,-35.25,2023-02-22,1.488,Upland Sandpiper,3
-44.99,-35.25,2023-02-22,1.479,Upland Sandpiper,3
-44.75,-35.25,2023-02-22,1.474,Upland Sandpiper,3
-45.23,-35.06,2023-02-22,1.417,Upland Sandpiper,3
-45.23,-35.25,2023-02-22,1.358,Upland Sandpiper,3
-44.75,-34.86,2023-02-22,1.328,Upland Sandpiper,3
-44.02,-35.25,2023-02-22,1.282,Upland Sandpiper,3
-44.75,-35.45,2023-02-22,1.28,Upland Sandpiper,3
-43.78,-35.06,2023-02-22,1.185,Upland Sandpiper,3
-44.99,-35.06,2023-02-22,1.178,Upland Sandpiper,3
-44.99,-34.86,2023-02-22,1.147,Upland Sandpiper,3
-44.26,-35.06,2023-02-22,1.104,Upland Sandpiper,3
-45.48,-35.25,2023-02-22,1.101,Upland Sandpiper,3
-44.51,-35.45,2023-02-22,1.092,Upland Sandpiper,3
-45.48,-35.06,2023-02-22,1.089,Upland Sandpiper,3
-44.99,-35.45,2023-02-22,1.079,Upland Sandpiper,3
-44.51,-35.06,2023-02-22,1.031,Upland Sandpiper,3
-44.02,-35.45,2023-02-22,0.999,Upland Sandpiper,3
-45.23,-38.93,2023-02-22,0.978,Upland Sandpiper,3
-43.78,-35.25,2023-02-22,0.971,Upland Sandpiper,3
-44.75,-35.06,2023-02-22,0.934,Upland Sandpiper,3
-45.23,-34.86,2023-02-22,0.919,Upland Sandpiper,3
-45.48,-38.74,2023-02-22,0.912,Upland Sandpiper,3
-43.78,-35.65,2023-02-22,0.905,Upland Sandpiper,3
-45.23,-35.45,2023-02-22,0.866,Upland Sandpiper,3
-44.26,-35.45,2023-02-22,0.858,Upland Sandpiper,3
-45.72,-35.06,2023-02-22,0.841,Upland Sandpiper,3
-43.78,-35.45,2023-02-22,0.839,Upland Sandpiper,3
-45.72,-35.25,2023-02-22,0.772,Upland Sandpiper,3
-45.48,-35.45,2023-02-22,0.692,Upland Sandpiper,3
-44.02,-35.65,2023-02-22,0.646,Upland Sandpiper,3
-45.48,-34.86,2023-02-22,0.622,Upland Sandpiper,3
-45.48,-37.98,2023-02-22,0.6,Upland Sandpiper,3
-45.96,-35.25,2023-02-22,0.586,Upland Sandpiper,3
-45.96,-35.06,2023-02-22,0.567,Upland Sandpiper,3
-45.48,-38.17,2023-02-22,0.561,Upland Sandpiper,3
-45.23,-38.36,2023-02-22,0.56,Upland Sandpiper,3
-43.78,-35.85,2023-02-22,0.526,Upland Sandpiper,3
-45.23,-39.12,2023-02-22,0.524,Upland Sandpiper,3
-43.54,-35.45,2023-02-22,0.516,Upland Sandpiper,3
-43.29,-35.06,2023-02-22,0.513,Upland Sandpiper,3
-45.23,-38.55,2023-02-22,0.496,Upland Sandpiper,3
-44.99,-35.65,2023-02-22,0.484,Upland Sandpiper,3
-45.23,-38.74,2023-02-22,0.48,Upland Sandpiper,3
-46.2,-37.02,2023-02-22,0.467,Upland Sandpiper,3
-45.72,-35.45,2023-02-22,0.443,Upland Sandpiper,3
-44.75,-35.65,2023-02-22,0.438,Upland Sandpiper,3
-43.54,-35.25,2023-02-22,0.427,Upland Sandpiper,3
-43.54,-35.06,2023-02-22,0.421,Upland Sandpiper,3
-45.96,-37.21,2023-02-22,0.405,Upland Sandpiper,3
-45.23,-35.65,2023-02-22,0.398,Upland Sandpiper,3
