species,species_id,individual-local-identifier,date,daily_dist_km,avg_speed_kmh,max_speed_kmh,pct_migrating
Barn Swallow,2,H980,2014-02-27,3.9470349217051046,0.16557104567130426,0.1831806847768258,0.0
Barn Swallow,2,H976,2014-06-11,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-03-07,7.383566987955186,0.2846524004780324,0.5693048009560648,0.0
Barn Swallow,2,H980,2014-07-18,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-02-21,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-08-18,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-02-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-05-11,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-04-09,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-10-04,295.7635990508227,12.844564308595647,20.25686788295795,50.0
Barn Swallow,2,H974,2014-07-26,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-06-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-09-14,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-05-28,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-03-31,50.0377169900515,2.164521174259035,4.32904234851807,0.0
Barn Swallow,2,H989,2014-01-20,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-02-03,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-08-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-03-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-04-03,50.0377169900515,2.172981026854513,4.345962053709026,0.0
Barn Swallow,2,H987,2014-02-19,100.07543398010229,3.657579312978358,7.315158625956716,0.0
Barn Swallow,2,H982,2014-03-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-05-29,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-07-04,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-02-27,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-08-08,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-07-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-03-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-09-24,417.8906743758801,16.491002665512625,27.92391668886588,50.0
Barn Swallow,2,H987,2014-02-27,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-07-29,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-06-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-03-27,401.1363927752476,16.79082170298954,21.608076549621014,50.0
Barn Swallow,2,H980,2014-02-25,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-07-31,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-03-15,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-10-11,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-03-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-04-14,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-07-08,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-03-07,50.32238452317687,1.9630768527961158,3.9261537055922315,0.0
Barn Swallow,2,H978,2014-10-13,550.5809442949217,52.18364530083769,52.18364530083769,100.0
Barn Swallow,2,H982,2014-09-16,50.037716990051145,1.981778968977558,3.963557937955116,0.0
Barn Swallow,2,H989,2014-06-16,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-03-01,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-09-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-09-23,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-07-21,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-09-21,50.03771699005132,2.2186941884983957,4.4373883769967915,0.0
Barn Swallow,2,H992,2014-05-06,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-09-24,20.864422267138796,0.924921937099717,1.7682590067481772,0.0
Barn Swallow,2,H976,2014-05-13,0.0,0.0,0.0,0.0
Barn Swallow,2,H980,2014-05-17,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-04-09,4.24077066804049,0.17767875143741418,0.1810275144656457,0.0
Barn Swallow,2,H992,2014-04-04,17.78559829213821,0.7573152916628692,1.0947931028495035,0.0
Barn Swallow,2,H982,2014-06-16,49.982168694846116,2.016230708392786,3.350144256189308,0.0
Barn Swallow,2,H992,2014-04-23,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-04-07,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-08-18,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-10-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-05-22,50.33615455211485,2.1308814250660095,4.261762850132019,0.0
Barn Swallow,2,H980,2014-07-04,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-06-14,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-09-26,200.15086796020566,8.920925153605799,17.841850307211597,50.0
Barn Swallow,2,H992,2014-04-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-06-27,49.98216858250826,1.9968461535570938,3.9936923071141877,0.0
Barn Swallow,2,H980,2014-03-28,317.92571017917976,13.48313898813142,22.9536302625458,50.0
Barn Swallow,2,H989,2014-01-19,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-03-27,480.21246579834826,19.8222305236451,26.355798988686896,50.0
Barn Swallow,2,H982,2014-04-06,506.29179829309436,21.725407357229038,35.58359275681362,50.0
Barn Swallow,2,H987,2014-05-31,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-08-03,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-02-21,100.0754339801023,2.8587902025879046,3.62387907709386,0.0
