species,species_id,colour,region_name,region_code,continent_name,season,season_label,season_pop_pct,peak_pop_pct,range_days_occupation,max_week
Grey Plover,1,#e8a87c,England,ENG,Europe,prebreeding_migration,Pre-breeding Migration,0.699,2.382,91,2023-03-15
Grey Plover,1,#e8a87c,Eritrea,ERI,Africa,nonbreeding,Non-breeding,0.268,0.399,70,2023-02-08
Grey Plover,1,#e8a87c,Eritrea,ERI,Africa,postbreeding_migration,Post-breeding Migration,0.201,0.19,56,2023-08-23
Grey Plover,1,#e8a87c,Eritrea,ERI,Africa,prebreeding_migration,Pre-breeding Migration,0.216,0.217,42,2023-03-29
Grey Plover,1,#e8a87c,Spain,ESP,Europe,breeding,Breeding,0.231,0.507,35,2023-06-14
Grey Plover,1,#e8a87c,Spain,ESP,Europe,nonbreeding,Non-breeding,0.624,0.913,98,2023-03-08
Grey Plover,1,#e8a87c,Spain,ESP,Europe,postbreeding_migration,Post-breeding Migration,0.176,0.557,140,2023-11-29
Grey Plover,1,#e8a87c,Spain,ESP,Europe,prebreeding_migration,Pre-breeding Migration,0.281,0.708,91,2023-03-15
Grey Plover,1,#e8a87c,Estonia,EST,Europe,breeding,Breeding,0.1,0.757,7,2023-06-14
Grey Plover,1,#e8a87c,Estonia,EST,Europe,postbreeding_migration,Post-breeding Migration,0.122,0.381,112,2023-07-26
Grey Plover,1,#e8a87c,Estonia,EST,Europe,prebreeding_migration,Pre-breeding Migration,0.154,1.558,35,2023-05-31
Grey Plover,1,#e8a87c,Finland,FIN,Europe,breeding,Breeding,0.053,0.395,7,2023-06-14
Grey Plover,1,#e8a87c,Finland,FIN,Europe,postbreeding_migration,Post-breeding Migration,0.155,0.673,105,2023-07-26
Grey Plover,1,#e8a87c,Finland,FIN,Europe,prebreeding_migration,Pre-breeding Migration,0.222,2.108,35,2023-05-31
Grey Plover,1,#e8a87c,France,FRA,Europe,breeding,Breeding,0.04,0.205,7,2023-06-14
Grey Plover,1,#e8a87c,France,FRA,Europe,nonbreeding,Non-breeding,2.558,5.046,98,2023-02-01
Grey Plover,1,#e8a87c,France,FRA,Europe,postbreeding_migration,Post-breeding Migration,1.018,1.84,140,2023-10-25
Grey Plover,1,#e8a87c,France,FRA,Europe,prebreeding_migration,Pre-breeding Migration,0.695,1.318,91,2023-03-15
Grey Plover,1,#e8a87c,Guernsey,GGY,Europe,nonbreeding,Non-breeding,0.019,0.034,98,2023-02-01
Grey Plover,1,#e8a87c,Ghana,GHA,Africa,nonbreeding,Non-breeding,0.096,0.148,56,2023-02-15
Grey Plover,1,#e8a87c,Ghana,GHA,Africa,postbreeding_migration,Post-breeding Migration,0.026,0.045,35,2023-11-29
Grey Plover,1,#e8a87c,Guinea,GIN,Africa,nonbreeding,Non-breeding,0.369,0.466,98,2023-12-06
Grey Plover,1,#e8a87c,Guinea,GIN,Africa,postbreeding_migration,Post-breeding Migration,0.168,0.309,49,2023-11-29
Grey Plover,1,#e8a87c,Guinea,GIN,Africa,prebreeding_migration,Pre-breeding Migration,0.252,0.377,56,2023-04-05
Grey Plover,1,#e8a87c,Gambia,GMB,Africa,nonbreeding,Non-breeding,0.124,0.188,98,2023-03-08
Grey Plover,1,#e8a87c,Gambia,GMB,Africa,postbreeding_migration,Post-breeding Migration,0.062,0.107,70,2023-10-25
Grey Plover,1,#e8a87c,Gambia,GMB,Africa,prebreeding_migration,Pre-breeding Migration,0.079,0.125,63,2023-03-15
Grey Plover,1,#e8a87c,Guinea Bissau,GNB,Africa,nonbreeding,Non-breeding,0.601,0.794,98,2023-12-20
Grey Plover,1,#e8a87c,Guinea Bissau,GNB,Africa,postbreeding_migration,Post-breeding Migration,0.261,0.499,70,2023-11-29
Grey Plover,1,#e8a87c,Guinea Bissau,GNB,Africa,prebreeding_migration,Pre-breeding Migration,0.349,0.515,63,2023-04-12
Grey Plover,1,#e8a87c,Greece,GRC,Europe,breeding,Breeding,0.055,0.127,35,2023-07-12
Grey Plover,1,#e8a87c,Greece,GRC,Europe,nonbreeding,Non-breeding,0.813,1.594,98,2023-12-20
Grey Plover,1,#e8a87c,Greece,GRC,Europe,postbreeding_migration,Post-breeding Migration,0.216,0.662,140,2023-11-29
Grey Plover,1,#e8a87c,Greece,GRC,Europe,prebreeding_migration,Pre-breeding Migration,0.137,0.372,91,2023-03-15
Grey Plover,1,#e8a87c,Guatemala,GTM,North America,breeding,Breeding,0.106,0.189,35,2023-06-14
Grey Plover,1,#e8a87c,Guatemala,GTM,North America,nonbreeding,Non-breeding,0.174,0.36,98,2023-02-15
Grey Plover,1,#e8a87c,Guatemala,GTM,North America,postbreeding_migration,Post-breeding Migration,0.065,0.125,140,2023-11-29
Grey Plover,1,#e8a87c,Guatemala,GTM,North America,prebreeding_migration,Pre-breeding Migration,0.114,0.18,91,2023-04-12
Grey Plover,1,#e8a87c,French Guiana,GUF,South America,breeding,Breeding,0.061,0.066,7,2023-07-05
Grey Plover,1,#e8a87c,French Guiana,GUF,South America,nonbreeding,Non-breeding,0.081,0.185,98,2023-02-15
Grey Plover,1,#e8a87c,French Guiana,GUF,South America,postbreeding_migration,Post-breeding Migration,0.068,0.152,105,2023-11-29
Grey Plover,1,#e8a87c,French Guiana,GUF,South America,prebreeding_migration,Pre-breeding Migration,0.055,0.085,70,2023-04-05
Grey Plover,1,#e8a87c,Guyana,GUY,South America,nonbreeding,Non-breeding,0.089,0.175,98,2023-12-06
Grey Plover,1,#e8a87c,Guyana,GUY,South America,postbreeding_migration,Post-breeding Migration,0.074,0.209,98,2023-11-29
Grey Plover,1,#e8a87c,Guyana,GUY,South America,prebreeding_migration,Pre-breeding Migration,0.039,0.076,70,2023-03-15
Grey Plover,1,#e8a87c,Hong Kong,HKG,Asia,nonbreeding,Non-breeding,0.093,0.307,98,2023-12-27
Grey Plover,1,#e8a87c,Hong Kong,HKG,Asia,postbreeding_migration,Post-breeding Migration,0.019,0.147,91,2023-11-29
Grey Plover,1,#e8a87c,Hong Kong,HKG,Asia,prebreeding_migration,Pre-breeding Migration,0.041,0.294,63,2023-03-15
Grey Plover,1,#e8a87c,Honduras,HND,North America,breeding,Breeding,1.147,2.699,35,2023-06-14
Grey Plover,1,#e8a87c,Honduras,HND,North America,nonbreeding,Non-breeding,0.558,1.101,98,2023-02-08
Grey Plover,1,#e8a87c,Honduras,HND,North America,postbreeding_migration,Post-breeding Migration,0.345,0.769,140,2023-10-25
Grey Plover,1,#e8a87c,Honduras,HND,North America,prebreeding_migration,Pre-breeding Migration,0.248,1.193,91,2023-06-07
Grey Plover,1,#e8a87c,Croatia,HRV,Europe,nonbreeding,Non-breeding,0.419,1.475,98,2023-01-04
Grey Plover,1,#e8a87c,Croatia,HRV,Europe,postbreeding_migration,Post-breeding Migration,0.128,0.568,126,2023-11-22
Grey Plover,1,#e8a87c,Croatia,HRV,Europe,prebreeding_migration,Pre-breeding Migration,0.037,0.158,77,2023-03-15
Grey Plover,1,#e8a87c,Haiti,HTI,North America,nonbreeding,Non-breeding,0.117,0.212,98,2023-12-20
Grey Plover,1,#e8a87c,Haiti,HTI,North America,postbreeding_migration,Post-breeding Migration,0.123,0.984,140,2023-09-06
Grey Plover,1,#e8a87c,Haiti,HTI,North America,prebreeding_migration,Pre-breeding Migration,0.039,0.112,91,2023-03-15
Grey Plover,1,#e8a87c,Hungary,HUN,Europe,postbreeding_migration,Post-breeding Migration,0.056,0.178,119,2023-10-11
Grey Plover,1,#e8a87c,Hungary,HUN,Europe,prebreeding_migration,Pre-breeding Migration,0.011,0.053,28,2023-05-24
Grey Plover,1,#e8a87c,Indonesia,IDN,Asia,nonbreeding,Non-breeding,1.048,1.419,98,2023-01-18
Grey Plover,1,#e8a87c,Indonesia,IDN,Asia,postbreeding_migration,Post-breeding Migration,0.692,1.399,98,2023-11-29
Grey Plover,1,#e8a87c,Indonesia,IDN,Asia,prebreeding_migration,Pre-breeding Migration,0.369,0.957,28,2023-03-15
Grey Plover,1,#e8a87c,India,IND,Asia,nonbreeding,Non-breeding,1.245,2.097,98,2023-12-27
Grey Plover,1,#e8a87c,India,IND,Asia,postbreeding_migration,Post-breeding Migration,0.548,1.346,112,2023-11-29
Grey Plover,1,#e8a87c,India,IND,Asia,prebreeding_migration,Pre-breeding Migration,0.869,1.998,70,2023-03-15
Grey Plover,1,#e8a87c,Ireland,IRL,Europe,breeding,Breeding,0.015,0.053,21,2023-07-12
Grey Plover,1,#e8a87c,Ireland,IRL,Europe,nonbreeding,Non-breeding,0.362,0.722,98,2023-03-01
Grey Plover,1,#e8a87c,Ireland,IRL,Europe,postbreeding_migration,Post-breeding Migration,0.072,0.29,140,2023-11-29
Grey Plover,1,#e8a87c,Ireland,IRL,Europe,prebreeding_migration,Pre-breeding Migration,0.042,0.379,91,2023-03-15
Grey Plover,1,#e8a87c,Iran,IRN,Asia,breeding,Breeding,0.457,0.67,35,2023-06-14
